date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
1993-08-08,Bolivia,Uruguay,SouthAmerica,SouthAmerica,59,22,0,0,3,1,FIFAWorldCupqualification,LaPaz,Bolivia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Brazil,Mexico,SouthAmerica,NorthAmerica,8,14,0,0,1,1,Friendly,Maceió,Brazil,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Ecuador,Venezuela,SouthAmerica,SouthAmerica,35,94,0,0,5,0,FIFAWorldCupqualification,Quito,Ecuador,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Guinea,SierraLeone,Africa,Africa,65,86,0,0,1,0,Friendly,Conakry,Guinea,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Paraguay,Argentina,SouthAmerica,SouthAmerica,67,5,0,0,1,3,FIFAWorldCupqualification,Asunción,Paraguay,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Peru,Colombia,SouthAmerica,SouthAmerica,70,19,0,0,0,1,FIFAWorldCupqualification,Lima,Peru,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-08,Zimbabwe,Eswatini,Africa,Africa,50,102,0,0,2,0,Friendly,Harare,Zimbabwe,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-09,Guinea,SierraLeone,Africa,Africa,65,86,0,0,4,0,Friendly,Conakry,Guinea,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-11,FaroeIslands,Norway,Europe,Europe,111,9,0,0,0,7,Friendly,Toftir,FaroeIslands,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-11,Sweden,Switzerland,Europe,Europe,4,3,0,0,1,2,Friendly,Borås,Sweden,False,No,Lose,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-15,Australia,Canada,Oceania,NorthAmerica,52,46,0,0,2,1,FIFAWorldCupqualification,Sydney,Australia,False,Yes,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-15,Bolivia,Ecuador,SouthAmerica,SouthAmerica,59,35,0,0,1,0,FIFAWorldCupqualification,LaPaz,Bolivia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-15,Colombia,Argentina,SouthAmerica,SouthAmerica,19,5,0,0,2,1,FIFAWorldCupqualification,Barranquilla,Colombia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-15,Congo,Guinea,Africa,Africa,107,65,0,0,0,0,AfricanCupofNationsqualification,Pointe-Noire,Congo,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-15,Uruguay,Brazil,SouthAmerica,SouthAmerica,22,8,0,0,1,1,FIFAWorldCupqualification,Montevideo,Uruguay,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-22,Argentina,Peru,SouthAmerica,SouthAmerica,5,70,0,0,2,1,FIFAWorldCupqualification,BuenosAires,Argentina,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-22,Bolivia,Venezuela,SouthAmerica,SouthAmerica,59,94,0,0,7,0,FIFAWorldCupqualification,LaPaz,Bolivia,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-22,Brazil,Ecuador,SouthAmerica,SouthAmerica,8,35,0,0,2,0,FIFAWorldCupqualification,SãoPaulo,Brazil,False,No,Win,nan,nan,nan,nan,nan,nan,nan,nan
1993-08-22,Paraguay,Colombia,SouthAmerica,SouthAmerica,67,19,0,0,1,1,FIFAWorldCupqualification,Asunción,Paraguay,False,No,Draw,nan,nan,nan,nan,nan,nan,nan,nan
