Settore,Numero_Aziende,Percentuale_Totale,Comune
Industrie,554,0.1617,Agrigento
Servizi,1147,0.2194999999999999,Agrigento
Amministrazione,309,0.7235,Agrigento
Altro,1171,0.3878,Agrigento
Industrie,1849,0.923,Alessandria
Servizi,2742,0.7104,Alessandria
Amministrazione,250,0.4429,Alessandria
Altro,2956,1.2599,Alessandria
Industrie,1402,0.8926000000000001,Ancona
Servizi,3762,0.9608,Ancona
Amministrazione,1034,1.4072,Ancona
Altro,3476,2.0345,Ancona
Industrie,614,0.3289,Aosta
Servizi,768,0.2258,Aosta
Amministrazione,391,0.7125,Aosta
Altro,1475,0.5461,Aosta
Industrie,3041,1.6626999999999998,Arezzo
Servizi,3374,0.8898999999999999,Arezzo
Amministrazione,676,0.7163,Arezzo
Altro,3471,1.3998,Arezzo
Industrie,1156,0.7631,Ascoli Piceno
Servizi,1278,0.2906,Ascoli Piceno
Amministrazione,352,0.4615999999999999,Ascoli Piceno
Altro,1521,0.6339,Ascoli Piceno
Industrie,1356,0.6524,Asti
Servizi,1875,0.534,Asti
Amministrazione,257,0.4835,Asti
Altro,2347,0.8865999999999999,Asti
Industrie,754,0.4418999999999999,Avellino
Servizi,1338,0.2761,Avellino
Amministrazione,415,0.7973,Avellino
Altro,1779,0.7349,Avellino
Industrie,4146,2.0822,Bari
Servizi,9789,2.1367000000000003,Bari
Amministrazione,1519,4.4775,Bari
Altro,8251,4.746,Bari
Industrie,549,0.2779,Belluno
Servizi,847,0.3082,Belluno
Amministrazione,481,0.6389,Belluno
Altro,1181,0.5352,Belluno
Industrie,915,0.376,Benevento
Servizi,1446,0.3141,Benevento
Amministrazione,452,0.8654,Benevento
Altro,1618,0.675,Benevento
Industrie,1750,0.9404,Bergamo
Servizi,3132,1.0062,Bergamo
Amministrazione,839,1.3174,Bergamo
Altro,5755,2.3277,Bergamo
Industrie,977,0.5457,Biella
Servizi,1486,0.4072,Biella
Amministrazione,496,0.584,Biella
Altro,2498,1.1539,Biella
Industrie,4669,3.012,Bologna
Servizi,9920,2.6670000000000003,Bologna
Amministrazione,2896,4.358,Bologna
Altro,19655,7.9819,Bologna
Industrie,1697,1.0235,Bolzano
Servizi,3020,1.2029,Bolzano
Amministrazione,1200,1.482,Bolzano
Altro,4603,1.7288,Bolzano
Industrie,1440,2.3851,Brescia
Servizi,6484,1.9543,Brescia
Amministrazione,1819,3.3818,Brescia
Altro,12560,4.1948,Brescia
Industrie,1128,1.088,Brindisi
Servizi,1607,0.3237,Brindisi
Amministrazione,441,0.7836000000000001,Brindisi
Altro,1734,0.8835000000000001,Brindisi
Industrie,2759,0.9494,Cagliari
Servizi,5225,1.3714,Cagliari
Amministrazione,1442,2.8721,Cagliari
Altro,6891,2.4442,Cagliari
Industrie,856,0.3621999999999999,Caltanissetta
Servizi,1679,0.3434,Caltanissetta
Amministrazione,248,0.6618,Caltanissetta
Altro,1355,0.4134,Caltanissetta
Industrie,425,0.2751,Campobasso
Servizi,1100,0.2697,Campobasso
Amministrazione,273,0.2724,Campobasso
Altro,1482,0.4487,Campobasso
Industrie,1245,0.5934,Caserta
Servizi,1824,0.3957,Caserta
Amministrazione,434,1.0986,Caserta
Altro,2349,0.9503,Caserta
Industrie,3849,1.8524,Catania
Servizi,8499,1.7366,Catania
Amministrazione,1407,3.566,Catania
Altro,7518,2.3062,Catania
Industrie,1151,0.5048,Catanzaro
Servizi,2716,0.5577,Catanzaro
Amministrazione,633,2.6673,Catanzaro
Altro,2227,0.7314,Catanzaro
Industrie,236,0.289,Chieti
Servizi,1018,0.2141,Chieti
Amministrazione,374,0.7748999999999999,Chieti
Altro,1673,0.7602,Chieti
Industrie,1502,0.8374,Como
Servizi,2152,0.589,Como
Amministrazione,687,0.9998,Como
Altro,4022,1.5021,Como
Industrie,1048,0.3361,Cosenza
Servizi,2247,0.516,Cosenza
Amministrazione,688,1.4853,Cosenza
Altro,2408,0.7652,Cosenza
Industrie,407,0.5965,Cremona
Servizi,1733,0.5033000000000001,Cremona
Amministrazione,575,0.7476,Cremona
Altro,2781,1.0114,Cremona
Industrie,841,0.2775999999999999,Crotone
Servizi,1265,0.2213,Crotone
Amministrazione,149,0.3417,Crotone
Altro,1227,0.4206,Crotone
Industrie,1162,0.8230000000000001,Cuneo
Servizi,1561,0.4561,Cuneo
Amministrazione,412,1.0783,Cuneo
Altro,2165,1.9327,Cuneo
Industrie,343,0.1205,Enna
Servizi,522,0.1125999999999999,Enna
Amministrazione,232,0.5858,Enna
Altro,692,0.2138,Enna
Industrie,869,0.4263,Fermo
Servizi,844,0.1715,Fermo
Amministrazione,365,0.3,Fermo
Altro,920,0.3632,Fermo
Industrie,2303,1.341,Ferrara
Servizi,3420,1.1318,Ferrara
Amministrazione,1032,1.1125,Ferrara
Altro,4424,1.8605,Ferrara
Industrie,7121,3.2731000000000003,Firenze
Servizi,11141,3.1325,Firenze
Amministrazione,2737,4.494400000000001,Firenze
Altro,17303,5.7511,Firenze
Industrie,2016,0.9365,Foggia
Servizi,3390,0.6633,Foggia
Amministrazione,554,1.3063,Foggia
Altro,2735,1.0457,Foggia
Industrie,990,0.5721,Frosinone
Servizi,1695,0.4844,Frosinone
Amministrazione,391,1.0626,Frosinone
Altro,1801,0.7419,Frosinone
Industrie,2285,3.0224,Genova
Servizi,15190,3.954,Genova
Amministrazione,2558,4.6406,Genova
Altro,23125,8.9194,Genova
Industrie,431,0.3164,Gorizia
Servizi,1094,0.2893,Gorizia
Amministrazione,515,0.4256999999999999,Gorizia
Altro,1121,0.3754,Gorizia
Industrie,1278,0.4704,Grosseto
Servizi,1917,0.4972,Grosseto
Amministrazione,433,0.6123000000000001,Grosseto
Altro,2407,0.9186,Grosseto
Industrie,589,0.2237,Imperia
Servizi,1034,0.2722,Imperia
Amministrazione,329,0.5779,Imperia
Altro,1363,0.5215,Imperia
Industrie,453,0.1478,Isernia
Servizi,619,0.1415,Isernia
Amministrazione,149,0.3364,Isernia
Altro,726,0.2880999999999999,Isernia
Industrie,1045,0.5229,L'Aquila
Servizi,1292,0.3093,L'Aquila
Amministrazione,501,0.9492,L'Aquila
Altro,1908,0.7405999999999999,L'Aquila
Industrie,432,0.622,La Spezia
Servizi,2699,0.6602,La Spezia
Amministrazione,557,0.8515,La Spezia
Altro,3682,1.3451,La Spezia
Industrie,2072,1.2027,Latina
Servizi,3116,0.6954,Latina
Amministrazione,419,0.6393,Latina
Altro,3387,1.2409,Latina
Industrie,1125,0.5581,Lecce
Servizi,2381,0.6105,Lecce
Amministrazione,327,0.769,Lecce
