Laurea_Maschi,Laurea_Femmine,Laurea_Totale,Diploma_Maschi,Diploma_Femmine,Diploma_Totale,Licenza Media_Maschi,Licenza Media_Femmine,Licenza Media_Totale,Licenza Elementare_Maschi,Licenza Elementare_Femmine,Licenza Elementare_Totale,Alfabeti_Maschi,Alfabeti_Femmine,Alfabeti_Totale,Analfabeti_Maschi,Analfabeti_Femmine,Analfabeti_Totale,Comune
2280,2610,4890,5149,5432,10581,3962,3599,7561,2052,2957,5009,970,1357,2327,268,325,593,Agrigento
3622,4349,7971,9276,10030,19306,9173,9148,18321,4368,6872,11240,1537,2038,3575,196,381,577,Alessandria
6897,8225,15122,14348,14745,29093,10442,9553,19995,5911,9541,15452,2182,3242,5424,102,187,289,Ancona
1970,2328,4298,4159,4419,8578,4737,4893,9630,2324,3627,5951,837,1106,1943,64,160,224,Aosta
4673,6127,10800,11923,12251,24174,10281,8590,18871,5297,8259,13556,1832,2861,4693,88,214,302,Arezzo
2892,3402,6294,7423,7286,14709,4722,4372,9094,2883,4234,7117,980,1637,2617,52,124,176,Ascoli Piceno
3185,3825,7010,8722,8746,17468,8648,9172,17820,4620,6777,11397,1692,2154,3846,207,412,619,Asti
4429,5300,9729,8224,8506,16730,5047,4768,9815,2329,3961,6290,1120,1753,2873,113,328,441,Avellino
21011,23634,44645,39562,40458,80020,35446,32195,67641,19893,29701,49594,7880,11045,18925,1232,2316,3548,Bari
1924,2134,4058,4338,4482,8820,2751,2836,5587,1395,2682,4077,589,677,1266,34,33,67,Belluno
3822,4628,8450,8025,8025,16050,5914,5662,11576,2716,4450,7166,1173,1654,2827,175,442,617,Benevento
10753,11823,22576,17059,18462,35521,13023,13938,26961,6052,11000,17052,2777,3051,5828,164,239,403,Bergamo
2531,2917,5448,6153,6470,12623,5868,6044,11912,3190,5211,8401,1000,1336,2336,126,242,368,Biella
37392,44683,82075,51920,56161,108081,40470,38770,79240,22328,36224,58552,8114,11216,19330,532,1021,1553,Bologna
13549,15805,29354,26558,27854,54412,24007,23884,47891,11928,20330,32258,4741,5159,9900,366,499,865,Brescia
3468,4233,7701,11973,11891,23864,11164,9964,21128,5760,8869,14629,2423,3476,5899,337,746,1083,Brindisi
13889,17675,31564,20614,23506,44120,18884,18648,37532,8460,12824,21284,3237,4735,7972,476,690,1166,Cagliari
2922,3691,6613,7837,8194,16031,7735,7454,15189,4440,5964,10404,1893,2690,4583,377,570,947,Caltanissetta
3377,4344,7721,6965,6896,13861,4397,4066,8463,2148,3406,5554,918,1296,2214,64,166,230,Campobasso
6631,7789,14420,12388,12970,25358,7806,7476,15282,3473,5768,9241,1817,2420,4237,166,512,678,Caserta
15399,18580,33979,35069,37965,73034,44927,41747,86674,21604,31633,53237,9983,13214,23197,2189,2795,4984,Catania
5792,7294,13086,13381,13833,27214,9016,7555,16571,4808,6869,11677,2156,3132,5288,393,899,1292,Catanzaro
3372,4062,7434,7371,7299,14670,5215,4614,9829,3047,4426,7473,1065,1754,2819,92,263,355,Chieti
6203,6684,12887,11963,13316,25279,10614,10457,21071,5575,8460,14035,1956,2292,4248,114,251,365,Como
5530,6836,12366,9720,10656,20376,7308,6266,13574,3606,5475,9081,1784,2711,4495,290,778,1068,Cosenza
4247,4934,9181,9732,9922,19654,6962,6865,13827,3969,7356,11325,1259,1440,2699,67,140,207,Cremona
2795,3470,6265,7424,7521,14945,6271,5276,11547,3602,4974,8576,1696,2155,3851,224,489,713,Crotone
3248,3635,6883,6924,7482,14406,6122,5984,12106,2959,5029,7988,1242,1277,2519,61,152,213,Cuneo
1417,1564,2981,3197,3570,6767,3448,3019,6467,1573,2669,4242,563,843,1406,96,157,253,Enna
