Settore,Numero_Aziende,Addetti,Percentuale_Totale,Comune
Industrie,554,Addetti,0.1617,Agrigento
Servizi,1147,Addetti,0.2194999999999999,Agrigento
Amministrazione,309,Addetti,0.7235,Agrigento
Altro,1171,Addetti,0.3878,Agrigento
Industrie,1849,Addetti,0.923,Alessandria
Servizi,2742,Addetti,0.7104,Alessandria
Amministrazione,250,Addetti,0.4429,Alessandria
Altro,2956,Addetti,1.2599,Alessandria
Industrie,1402,Addetti,0.8926000000000001,Ancona
Servizi,3762,Addetti,0.9608,Ancona
Amministrazione,1034,Addetti,1.4072,Ancona
Altro,3476,Addetti,2.0345,Ancona
Industrie,614,Addetti,0.3289,Aosta
Servizi,768,Addetti,0.2258,Aosta
Amministrazione,391,Addetti,0.7125,Aosta
Altro,1475,Addetti,0.5461,Aosta
Industrie,3041,Addetti,1.6626999999999998,Arezzo
Servizi,3374,Addetti,0.8898999999999999,Arezzo
Amministrazione,676,Addetti,0.7163,Arezzo
Altro,3471,Addetti,1.3998,Arezzo
Industrie,1156,Addetti,0.7631,Ascoli Piceno
Servizi,1278,Addetti,0.2906,Ascoli Piceno
Amministrazione,352,Addetti,0.4615999999999999,Ascoli Piceno
Altro,1521,Addetti,0.6339,Ascoli Piceno
Industrie,1356,Addetti,0.6524,Asti
Servizi,1875,Addetti,0.534,Asti
Amministrazione,257,Addetti,0.4835,Asti
Altro,2347,Addetti,0.8865999999999999,Asti
Industrie,754,Addetti,0.4418999999999999,Avellino
Servizi,1338,Addetti,0.2761,Avellino
Amministrazione,415,Addetti,0.7973,Avellino
Altro,1779,Addetti,0.7349,Avellino
Industrie,4146,Addetti,2.0822,Bari
Servizi,9789,Addetti,2.1367000000000003,Bari
Amministrazione,1519,Addetti,4.4775,Bari
Altro,8251,Addetti,4.746,Bari
Industrie,549,Addetti,0.2779,Belluno
Servizi,847,Addetti,0.3082,Belluno
Amministrazione,481,Addetti,0.6389,Belluno
Altro,1181,Addetti,0.5352,Belluno
Industrie,915,Addetti,0.376,Benevento
Servizi,1446,Addetti,0.3141,Benevento
Amministrazione,452,Addetti,0.8654,Benevento
Altro,1618,Addetti,0.675,Benevento
Industrie,1750,Addetti,0.9404,Bergamo
Servizi,3132,Addetti,1.0062,Bergamo
Amministrazione,839,Addetti,1.3174,Bergamo
Altro,5755,Addetti,2.3277,Bergamo
Industrie,977,Addetti,0.5457,Biella
Servizi,1486,Addetti,0.4072,Biella
Amministrazione,496,Addetti,0.584,Biella
Altro,2498,Addetti,1.1539,Biella
Industrie,4669,Addetti,3.012,Bologna
Servizi,9920,Addetti,2.6670000000000003,Bologna
Amministrazione,2896,Addetti,4.358,Bologna
Altro,19655,Addetti,7.9819,Bologna
Industrie,1697,Addetti,1.0235,Bolzano
Servizi,3020,Addetti,1.2029,Bolzano
Amministrazione,1200,Addetti,1.482,Bolzano
Altro,4603,Addetti,1.7288,Bolzano
Industrie,1440,Addetti,2.3851,Brescia
Servizi,6484,Addetti,1.9543,Brescia
Amministrazione,1819,Addetti,3.3818,Brescia
Altro,12560,Addetti,4.1948,Brescia
Industrie,1128,Addetti,1.088,Brindisi
Servizi,1607,Addetti,0.3237,Brindisi
Amministrazione,441,Addetti,0.7836000000000001,Brindisi
Altro,1734,Addetti,0.8835000000000001,Brindisi
Industrie,2759,Addetti,0.9494,Cagliari
Servizi,5225,Addetti,1.3714,Cagliari
Amministrazione,1442,Addetti,2.8721,Cagliari
Altro,6891,Addetti,2.4442,Cagliari
Industrie,856,Addetti,0.3621999999999999,Caltanissetta
Servizi,1679,Addetti,0.3434,Caltanissetta
Amministrazione,248,Addetti,0.6618,Caltanissetta
Altro,1355,Addetti,0.4134,Caltanissetta
Industrie,425,Addetti,0.2751,Campobasso
Servizi,1100,Addetti,0.2697,Campobasso
Amministrazione,273,Addetti,0.2724,Campobasso
Altro,1482,Addetti,0.4487,Campobasso
Industrie,1245,Addetti,0.5934,Caserta
Servizi,1824,Addetti,0.3957,Caserta
Amministrazione,434,Addetti,1.0986,Caserta
Altro,2349,Addetti,0.9503,Caserta
Industrie,3849,Addetti,1.8524,Catania
Servizi,8499,Addetti,1.7366,Catania
Amministrazione,1407,Addetti,3.566,Catania
Altro,7518,Addetti,2.3062,Catania
Industrie,1151,Addetti,0.5048,Catanzaro
Servizi,2716,Addetti,0.5577,Catanzaro
Amministrazione,633,Addetti,2.6673,Catanzaro
Altro,2227,Addetti,0.7314,Catanzaro
Industrie,236,Addetti,0.289,Chieti
Servizi,1018,Addetti,0.2141,Chieti
Amministrazione,374,Addetti,0.7748999999999999,Chieti
Altro,1673,Addetti,0.7602,Chieti
Industrie,1502,Addetti,0.8374,Como
Servizi,2152,Addetti,0.589,Como
Amministrazione,687,Addetti,0.9998,Como
Altro,4022,Addetti,1.5021,Como
Industrie,1048,Addetti,0.3361,Cosenza
Servizi,2247,Addetti,0.516,Cosenza
Amministrazione,688,Addetti,1.4853,Cosenza
Altro,2408,Addetti,0.7652,Cosenza
Industrie,407,Addetti,0.5965,Cremona
Servizi,1733,Addetti,0.5033000000000001,Cremona
Amministrazione,575,Addetti,0.7476,Cremona
Altro,2781,Addetti,1.0114,Cremona
Industrie,841,Addetti,0.2775999999999999,Crotone
Servizi,1265,Addetti,0.2213,Crotone
Amministrazione,149,Addetti,0.3417,Crotone
